DATE,QUANTITIES_Kgs,VALUE,PFco_Code,Total_values
19-Jan-24,24.6,6300,451,154980
11-Jan-24,36,8550,451,307800
16-Jan-24,36.5,8100,451,295650
11-Jan-24,361.7,67200,451,24306240
05-Jan-24,142.7,32400,451,4623480
06-Jan-24,48,9300,451,446400
16-Jan-24,103.5,18600,451,1925100
22-Jan-24,47.6,9300,451,442680
20-Feb-24,49.7,10200,451,506940
02-Feb-24,95.7,19200,451,1837440
17-Feb-24,99,18600,451,1841400
02-Feb-24,102.5,19200,451,1968000
08-Mar-24,51,10200,451,520200
19-Mar-24,209.6,40800,451,8551680
28-Mar-24,51,10200,451,520200
02-Mar-24,25.3,5700,451,144210
19-Mar-24,52.2,10200,451,532440
29-Mar-24,257.1,48000,451,12340800
23-Apr-24,48.6,10200,451,495720
04-Apr-24,59,13110,451,773490
08-Apr-24,206,43200,451,8899200
30-Apr-24,97.6,19200,451,1873920
11-Apr-24,50.8,9300,451,472440
20-Apr-24,48.2,9300,451,448260
30-Apr-24,96.7,19200,451,1856640
02-May-24,24,6300,451,151200
17-May-24,48.3,10200,451,492660
22-May-24,50.2,10200,451,512040
14-May-24,36.8,8550,451,314640
17-May-24,150.3,28800,451,4328640
16-May-24,102.8,19200,451,1973760
22-May-24,49.6,9300,451,461280
16-May-24,102.6,19200,451,1969920
21-Jun-24,242.1,45000,451,10894500
25-Jun-24,105.1,20400,451,2144040
05-Jun-24,50,10200,451,510000
25-Jun-24,36,8550,451,307800
14-Jun-24,100.9,19200,451,1937280
06-Jun-24,50.3,9300,451,467790
11-Jun-24,49.2,9300,451,457560
19-Jun-24,48.4,9300,451,450120
26-Jun-24,95.9,18600,451,1783740
28-Jun-24,96.1,18600,451,1787460
06-Jul-24,23.7,6300,451,149310
04-Jul-24,47.2,10200,451,481440
29-Jul-24,42,9690,451,406980
30-Jul-24,50,12000,451,600000
10-Jul-24,101.5,18600,451,1887900
11-Jul-24,245.5,46500,451,11415750
16-Jul-24,301,55800,451,16795800
24-Jul-24,99.1,18600,451,1843260
20-Dec-23,97.8,33600,455,3286080
26-Jul-24,12.8,3900,455,49920
01-Jun-24,61.5,14400,456,885600
21-Jun-24,502.9,108804.48,456,54717772.992
20-Jul-24,615.7,138000,456,84966600
07-Jan-21,4763.1,960000,457,4572576000
03-May-21,5508.21,1134000,457,6246310140
13-Jul-21,7793.02,1898208,457,14792772908.16
23-Aug-21,615.7,156000,457,96049200
09-Oct-21,4218.5,909720,457,3837653820
03-Feb-22,9231.12,2100000,457,19385352000
28-Mar-22,6841.7,1500576,457,10266490819.2
30-Jun-22,6036.79,1520000,457,9175920800
01-Sep-22,5174.3,1173000,457,6069453900
16-Dec-22,6698.22,1519342.86,457,10176892731.7092
23-Mar-23,1233.05,276000,457,340321800
31-Mar-23,1865.47,486000,457,906618420
31-Aug-23,2876.75,648600,457,1865860050
15-Sep-23,7787.9,1794717.6,457,13977081197.04
30-Dec-23,5466.33,1228691.28,457,6716432004.6024
13-Jan-24,1261.2,308000,457,388449600
11-Mar-24,5303.9,1173000,457,6221474700
01-Jun-24,125.1,28800,457,3602880
21-Jun-24,6905.2,1523262.72,457,10518433734.144
20-Jul-24,2564.4,579600,457,1486326240
07-Jan-21,7213.77,1440000,458,10387828800
07-Jan-21,1769.9,360000,458,637164000
03-May-21,5379.18,1134000,458,6099990120
13-Jul-21,1531,365040,458,558876240
23-Aug-21,642.4,156000,458,100214400
09-Oct-21,3109.26,649800,458,2020397148
03-Feb-22,611.5,140000,458,85610000
28-Mar-22,1510.7,334950,458,506008965
30-Jun-22,1524.3,380000,458,579234000
01-Sep-22,1811.2,414000,458,749836800
16-Dec-22,623.5,140031.6,458,87309702.6
23-Mar-23,4018.9,897000,458,3604953300
31-Mar-23,366.8,97200,458,35652960
31-Aug-23,2926.25,662400,458,1938348000
15-Sep-23,619.9,138055.2,458,85580418.48
30-Dec-23,370.64,82833.12,458,30701267.5968
11-Mar-24,4577.19,1035000,458,4737391650
01-Jun-24,59,14400,458,849600
21-Jun-24,483.8,108804.48,458,52639607.424
20-Jul-24,1266.4,289800,458,367002720
07-Jan-21,607.8,120000,459,72936000
13-Jul-21,3982.6,949104,459,3779901590.4
09-Oct-21,3373,714780,459,2410952940
03-Feb-22,3083.1,700000,459,2158170000
28-Mar-22,5413.4,1179024,459,6382528521.6
30-Jun-22,3693.2,912000,459,3368198400
01-Sep-22,5217.4,1173000,459,6120010200
16-Dec-22,3068.5,688955.47,459,2114059859.695
23-Mar-23,624.65,138000,459,86201700
31-Mar-23,924.7,243000,459,224702100
15-Sep-23,3040.51,690276,459,2098791080.76
30-Dec-23,2749.67,621248.4,459,1708228088.028
13-Jan-24,1210.6,308000,459,372864800
11-Mar-24,3035.7,690000,459,2094633000
01-Jun-24,123.1,28800,459,3545280
21-Jun-24,1460.3,326413.44,459,476661546.432
20-Jul-24,1223.5,276000,459,337686000
23-Aug-21,595,156000,460,92820000
30-Jun-22,1841,456000,460,839496000
16-Dec-22,1584.5,364082.16,460,576888182.52
31-Mar-23,567.47,145800,460,82737126
15-Sep-23,1833.29,414165.6,460,759285652.824
30-Dec-23,611.4,138055.2,460,84406949.28
13-Jan-24,1547,385000,460,595595000
01-Jun-24,61.9,14400,460,891360
16-Dec-22,356.8,80518.17,463,28728883.056
16-Dec-22,347.3,80518.17,464,27963960.441
16-Dec-22,358.2,81218.33,465,29092405.806
16-Mar-22,6,1680,466,10080
16-Mar-22,6,1680,466,10080
20-Jul-24,59.4,13800,466,819720
03-Feb-22,306.3,70000,468,21441000
30-Jun-22,370.8,91200,468,33816960
16-Dec-22,303.7,70015.8,468,21263798.46
13-Jan-24,310.7,77000,468,23923900
01-Jun-24,60.2,14400,468,866880
21-Jun-24,486.9,108804.48,468,52976901.312
16-Mar-22,641.3,160875,469,103169137.5
09-Sep-22,569.3,150000,469,85395000
17-Nov-23,12,3240,469,38880
31-Aug-23,594.5,129375,469,76913437.5
20-Jul-24,1148.26,258570,469,296905588.2
16-Mar-22,688.5,175500,470,120831750
09-Sep-22,1009.48,270000,470,272559600
17-Nov-23,12,3240,470,38880
28-Mar-22,55.4,13050,470,722970
01-Sep-22,837.3,194062.5,470,162488531.25
23-Mar-23,2583.72,595125,470,1537636365
31-Aug-23,2768.52,621000,470,1719250920
20-Jul-24,3551.7,801567,470,2846925513.9
16-Mar-22,674.34,171600,472,115716744
09-Sep-22,844.9,225000,472,190102500
17-Nov-23,11.31,3240,472,36644.4
01-Sep-22,840.6,194062.5,472,163128937.5
23-Mar-23,2302.28,530437.5,472,1221215647.5
31-Aug-23,1962.72,439875,472,863351460
20-Jul-24,1821.54,413712,472,753592956.48
22-Aug-23,1396.6,367446.41,472,513175656.206
16-Mar-22,691.7,179400,471,124090980
09-Sep-22,562.91,150000,471,84436500
17-Nov-23,11.4,3240,471,36936
23-Mar-23,3014.56,685687.5,471,2067046110
31-Aug-23,2679.76,621000,471,1664130960
